nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPullRequests,releases,totalIssues,closedIssues,collectedAt,stargazerCount
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2026-08-27T18:21:15Z,Markdown,157,0,948,673,2026-08-27T18:41:57.584741736Z,543406
sindresorhus/awesome,2014-07-11T13:42:37Z,2026-08-27T18:21:44Z,,702,0,368,352,2026-08-27T18:41:57.584741736Z,500463
public-apis/public-apis,2016-03-20T23:49:42Z,2026-08-27T18:20:15Z,Python,2160,0,943,911,2026-08-27T18:41:57.584741736Z,471608
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2026-08-27T17:54:51Z,TypeScript,29216,0,22109,21965,2026-08-27T18:41:57.584741736Z,454690
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2026-08-27T18:20:03Z,Python,7424,0,1296,1256,2026-08-27T18:41:57.584741736Z,395349
openclaw/openclaw,2025-11-24T10:16:47Z,2026-08-27T18:21:36Z,TypeScript,29114,235,49033,45499,2026-08-27T18:41:57.584741736Z,387817
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2026-08-27T18:22:00Z,Python,210,0,405,127,2026-08-27T18:41:57.584741736Z,366370
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,2026-08-27T18:16:33Z,TypeScript,4401,1,3190,3185,2026-08-27T18:41:57.584741736Z,365672
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2026-08-27T17:58:39Z,,415,0,537,455,2026-08-27T18:41:57.584741736Z,359841
vinta/awesome-python,2014-06-27T21:00:06Z,2026-08-27T18:20:25Z,Python,744,0,0,0,2026-08-27T18:41:57.584741736Z,316462
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2026-08-27T18:19:36Z,,0,1,0,0,2026-08-27T18:41:57.584741736Z,315575
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2026-08-27T18:13:15Z,Python,194,0,241,89,2026-08-27T18:41:57.584741736Z,281082
obra/superpowers,2025-10-09T19:45:18Z,2026-08-27T18:16:32Z,Shell,167,12,868,755,2026-08-27T18:41:57.584741736Z,278566
996icu/996.ICU,2019-03-26T07:31:14Z,2026-08-27T16:59:41Z,,1072,0,0,0,2026-08-27T18:41:57.584741736Z,276792
react/react,2013-05-24T16:15:54Z,2026-08-27T17:51:25Z,JavaScript,13053,132,14637,13806,2026-08-27T18:41:57.584741736Z,247984
torvalds/linux,2011-09-04T22:48:12Z,2026-08-27T18:16:13Z,C,0,0,0,0,2026-08-27T18:41:57.584741736Z,244692
affaan-m/ECC,2026-01-18T00:51:51Z,2026-08-27T18:16:45Z,JavaScript,998,16,722,670,2026-08-27T18:41:57.584741736Z,243710
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2026-08-27T18:22:12Z,,122,0,0,0,2026-08-27T18:41:57.584741736Z,240640
mattpocock/skills,2026-02-03T11:15:53Z,2026-08-27T18:21:31Z,Shell,95,7,741,319,2026-08-27T18:41:57.584741736Z,238886
NousResearch/hermes-agent,2025-07-22T22:22:28Z,2026-08-27T18:20:49Z,Python,12001,30,24361,11967,2026-08-27T18:41:57.584741736Z,237264
TheAlgorithms/Python,2016-07-16T09:44:01Z,2026-08-27T18:18:15Z,Python,3091,0,1754,1608,2026-08-27T18:41:57.584741736Z,224059
vuejs/vue,2013-07-29T03:24:51Z,2026-08-27T17:21:41Z,TypeScript,1136,249,10034,9670,2026-08-27T18:41:57.584741736Z,210755
ossu/computer-science,2014-05-04T00:18:39Z,2026-08-27T18:13:19Z,HTML,315,0,675,658,2026-08-27T18:41:57.584741736Z,208466
multica-ai/andrej-karpathy-skills,2026-01-27T03:53:13Z,2026-08-27T18:19:45Z,,12,0,0,0,2026-08-27T18:41:57.584741736Z,208011
n8n-io/n8n,2019-06-22T09:24:21Z,2026-08-27T18:08:15Z,TypeScript,20579,780,10133,9792,2026-08-27T18:41:57.584741736Z,202608
anomalyco/opencode,2025-04-30T20:08:00Z,2026-08-27T18:05:51Z,TypeScript,7939,865,25043,20905,2026-08-27T18:41:57.584741736Z,201928
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,2026-08-27T18:21:31Z,TypeScript,0,5,0,0,2026-08-27T18:41:57.584741736Z,199995
tensorflow/tensorflow,2015-11-07T01:19:20Z,2026-08-27T18:07:32Z,C++,49437,222,41725,40990,2026-08-27T18:41:57.584741736Z,197735
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2026-08-27T17:38:40Z,JavaScript,309,0,373,238,2026-08-27T18:41:57.584741736Z,196572
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2026-08-27T18:15:20Z,Markdown,0,0,0,0,2026-08-27T18:41:57.584741736Z,195989
ultraworkers/claw-code,2026-03-31T08:58:08Z,2026-08-27T17:59:07Z,Rust,142,0,2211,2195,2026-08-27T18:41:57.584741736Z,195129
microsoft/vscode,2015-09-03T20:23:38Z,2026-08-27T18:17:26Z,TypeScript,52608,235,251855,234124,2026-08-27T18:41:57.584741736Z,189711
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2026-08-27T17:30:53Z,Shell,3660,0,5081,4928,2026-08-27T18:41:57.584741736Z,189412
